ec50_2.5,ec50_50,ec50_97.5,slope_2.5,slope_50,slope_97.5,upper_2.5,upper_50,upper_97.5,Thiamin_conc,survival_ci_2.5,survival_median,survival_ci_97.5,plot_label
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0,0,0,0,"Thiamin Conc: 0 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.01,1.966017826315891e-6,4.4774495222554833e-7,9.422911340095652e-8,"Thiamin Conc: 0.01 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.02,2.2392805165694085e-5,5.97743747832169e-6,1.4872936215937216e-6,"Thiamin Conc: 0.02 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.03,9.292518712289422e-5,2.721956010587334e-5,7.469741092336335e-6,"Thiamin Conc: 0.03 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.04,2.5505194102271034e-4,7.979930196633234e-5,2.34751421190893e-5,"Thiamin Conc: 0.04 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.05,5.581502905194213e-4,1.837907626978108e-4,5.706187858889322e-5,"Thiamin Conc: 0.05 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.05961,0.0010344526390704267,3.54629900656267e-4,1.1487982517488504e-4,"Thiamin Conc: 0.05961 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.06,0.0010584013702019668,3.633825035764815e-4,1.1790078054962905e-4,"Thiamin Conc: 0.06 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.06231,0.0012084576321624851,4.185082660979056e-4,1.37031555402789e-4,"Thiamin Conc: 0.06231 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.06595,0.0014749211427078635,5.174767538695946e-4,1.7177686895131217e-4,"Thiamin Conc: 0.06595 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.07,0.0018180649288046524,6.466391231474411e-4,2.1776567611375697e-4,"Thiamin Conc: 0.07 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.07676,0.002512600618032046,9.127461410907145e-4,3.143047183629122e-4,"Thiamin Conc: 0.07676 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.08,0.002904947356918708,0.0010653177982655748,3.7052569767936916e-4,"Thiamin Conc: 0.08 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.08991,0.004376593703581122,0.001648542090604277,5.897853386338525e-4,"Thiamin Conc: 0.08991 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.09,0.004391988201790653,0.0016547201533101408,5.921387477680895e-4,"Thiamin Conc: 0.09 nmol/g
Estimated % Survived: 0% (0%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.09457,0.005225814668008422,0.0019913495532764003,7.211809408991243e-4,"Thiamin Conc: 0.09457 nmol/g
Estimated % Survived: 0% (0.01%, 0%)"
1.569476319246906,1.7103077882525506,1.8517411501246575,3.509687264854349,3.7387781505462323,3.9803728131587897,0.9823293887579432,0.9836242089957894,0.9849480019485428,0.1,0.006356925366379773,0.0024535685310356214,9.006457676652424e-4,"Thiamin Conc: 0.1 nmol/g
Estimated % Survived: 0% (0.01%, 0%)"
